temp,hum,occ,CO2,occupancy_level
32.77567706,37.88811616,5,500.4086232,3
32.76121482,37.84016075,5,501.3524933,3
32.76030993,37.78984468,5,502.8489184,3
32.75858445,37.71226601,5,501.0574126,3
32.76192879,37.62685391,5,502.3244513,3
32.7634668,37.55957704,5,501.6361935,3
32.76523248,37.50876422,5,499.2114589,3
32.78102868,37.54811498,5,495.955419,3
32.77158294,37.58387553,5,494.3793941,3
32.75431514,37.58312708,5,492.4048884,3
32.74221456,37.62143465,5,493.2967396,3
32.75500943,37.6966475,5,494.7856018,3
32.76088101,37.73544782,5,495.1037617,3
32.75866748,37.7569152,5,494.9551553,3
32.7551322,37.76801743,5,496.8699485,3
32.76117944,37.74226001,5,498.0067745,3
32.76310502,37.72100802,5,498.3714222,3
32.76389108,37.72670994,5,498.972205,3
32.76307094,37.72786605,5,500.0478726,3
32.75703989,37.74189057,5,503.3230328,3
32.7667137,37.76713313,5,501.5848524,3
32.75691143,37.79308178,5,500.3005967,3
32.75078336,37.82825164,5,500.085798,3
32.74494848,37.83764397,5,500.6888976,3
32.73855213,37.84260998,5,500.9837757,3
32.74754477,37.82007493,5,501.5312167,3
32.74784276,37.81853453,5,501.5713726,3
32.74770338,37.8425801,5,499.6106464,3
32.73892266,37.83002119,5,499.4948631,3
32.73565611,37.76415571,5,497.2053945,3
32.72933055,37.69877514,5,494.272575,3
32.72377226,37.70427304,5,496.9185229,3
32.71818075,37.66339942,5,498.1196708,3
32.71020749,37.6750424,5,500.0854547,3
32.71098525,37.65980889,5,501.7624919,3
32.70320774,37.64008189,4,501.2698615,2
32.69740169,37.6685051,4,499.2568711,2
32.69716272,37.69188834,4,498.2715569,2
32.69762021,37.7677754,5,497.8931362,3
32.69692113,37.82382367,5,498.2618102,3
32.69856224,37.90795028,5,502.551857,3
32.69681451,37.89921123,5,506.9158401,3
32.6972213,37.90211668,5,509.3275336,3
32.69712123,37.89044719,5,509.2443688,3
32.69476182,37.82771626,5,509.1313921,3
32.69415011,37.73360563,5,507.0036919,3
32.69153508,37.6605819,5,505.7314153,3
32.69000583,37.64973677,5,501.4272529,3
32.69022429,37.64234635,5,501.8598518,3
32.69219048,37.61868188,5,500.9461747,3
32.69356419,37.5926322,5,501.9487954,3
32.69657901,37.61346483,5,506.1645368,3
32.69787626,37.64951894,5,507.4156113,3
32.69836955,37.6428367,5,508.4206848,3
32.69981142,37.62732583,5,510.7188175,3
32.70169022,37.5993905,5,510.9823373,3
32.69999886,37.57039534,5,511.9766572,3
32.70169022,37.53660408,5,512.0360418,3
32.69981142,37.49247253,5,510.4580312,3
32.70048909,37.43685165,5,511.9720886,3
32.70091817,37.42713831,5,514.4606854,3
32.69696657,37.4283986,5,514.8073338,3
32.69093693,37.44376928,5,513.7258005,3
32.68837259,37.4770601,5,513.6952331,3
32.68492083,37.51780841,5,516.0916536,3
32.68409067,37.54893343,5,514.5967631,3
32.68588208,37.58509151,5,514.3672862,3
32.68772987,37.62886313,5,511.1192988,3
32.69278559,37.61958694,5,509.7974048,3
32.70001721,37.58273771,5,510.0914859,3
32.69823366,37.52927225,5,508.9437525,3
32.69477886,37.47915449,5,507.8983993,3
32.69541503,37.42862122,5,507.7345845,3
32.69433362,37.39442989,5,507.8211346,3
32.69162466,37.39244769,5,503.7848136,3
32.69066342,37.40964984,5,503.5572318,3
32.69144988,37.42981458,5,505.3144834,3
32.6943144,37.46162359,5,506.2577129,3
32.69301629,37.43357259,5,507.4575058,3
32.69727678,37.39706115,5,509.7429183,3
32.69657988,37.37632826,5,510.4210288,3
32.70189033,37.33307013,5,513.4683984,3
32.69444766,37.30026721,5,516.6168335,3
32.68454682,37.31744463,5,518.5830278,3
32.676551,37.35193748,5,520.7307933,3
32.67721644,37.35727202,5,524.359023,3
32.67418896,37.36072011,5,525.8309048,3
32.66900871,37.36172717,5,523.1792394,3
32.67331509,37.39566903,5,521.4818216,3
32.68364805,37.38894421,5,517.1924294,3
32.68614162,37.37804374,5,517.2131172,3
32.68420733,37.38825616,5,516.6984485,3
32.67773771,37.39974057,5,517.3343815,3
32.65835373,37.40822972,5,516.1397904,3
32.64277061,37.39316982,5,517.3398718,3
32.61462575,37.34016794,5,516.8720914,3
32.59279365,37.31123878,5,515.8249205,3
32.57519934,37.34371662,5,517.0276014,3
32.5725249,37.37284757,5,520.9011374,3
32.56585515,37.41462417,4,522.9459052,2
32.56599236,37.48080312,4,525.2645038,2
32.57217885,37.51180252,4,529.6040323,2
32.56807127,37.53620288,4,531.236902,2
32.56729484,37.58520366,4,529.0119617,2
32.56962105,37.6185276,4,529.706983,2
32.57452647,37.61169816,4,527.6108742,2
32.57484587,37.4108323,4,525.9321277,2
32.57777462,37.18611268,4,519.8335221,2
32.57327423,36.96579707,4,515.4678537,2
32.56440455,36.77539135,4,510.295797,2
32.5624637,36.64171463,4,505.1528745,2
32.55298232,36.62316754,4,501.1459203,2
32.54650352,36.73683682,4,497.6205858,2
32.54858898,36.98097866,4,497.0369082,2
32.55124377,37.20211864,4,499.8292808,2
32.5523798,37.22113249,4,502.611691,2
32.55307887,37.29222933,4,506.0324784,2
32.55334104,37.38442889,4,512.7701919,2
32.55316626,37.43488479,4,516.3218943,2
32.55255456,37.43775725,4,517.7665732,2
32.55183626,37.44344355,4,519.0064179,2
32.54877771,37.44653534,4,518.1987292,2
32.54571918,37.42678671,4,517.7689363,2
32.54904294,37.36671036,4,514.529563,2
32.54681454,37.26805263,4,511.8990572,2
32.54546004,37.17213669,4,508.4089599,2
32.54497941,37.1028874,4,507.3800474,2
32.54537265,37.03665339,4,507.0768577,2
32.54663978,37.0056435,4,505.2700873,2
32.54878077,37.01171151,4,506.0978758,2
32.54950215,37.05719668,4,507.3807166,2
32.5471427,37.0896192,4,507.8493083,2
32.5490792,37.12419638,4,508.6282914,2
32.54914169,37.12752509,4,512.9513891,2
32.54280694,37.11810977,4,514.3750095,2
32.53546551,37.10023938,4,515.4448739,2
32.52482693,37.10125265,4,514.5127121,2
32.51572812,37.13073118,4,513.7208784,2
32.51225708,37.13133725,4,514.65679,2
32.51493639,37.12152002,4,511.1048997,2
32.51424384,37.11132557,4,509.5038558,2
32.51712764,37.11034654,4,510.580132,2
32.52270647,37.10983062,4,509.6748281,2
32.52922908,37.12315967,4,509.9561451,2
32.53949145,37.16367328,4,512.0464628,2
32.53451168,37.21341528,4,511.7254629,2
32.53061898,37.25968573,4,514.8036687,2
32.52845745,37.27199944,4,517.0275494,2
32.51947574,37.26997808,4,521.2512226,2
32.5220598,37.27543804,4,521.4882761,2
32.52103911,37.2654049,4,523.3563543,2
32.50866675,37.25801474,4,524.5918377,2
32.49331448,37.23799007,4,526.578937,2
32.47378814,37.22450658,4,526.1176658,2
32.45207841,37.21422814,4,525.7374309,2
32.43191151,37.20010534,4,525.8348487,2
32.41686684,37.19645491,4,524.5711262,2
32.40876425,37.2062659,4,524.8290902,2
32.4263886,37.23988043,4,520.8637468,2
32.45056878,37.21515403,4,521.9351942,2
32.45692362,37.18798908,4,521.7635256,2
32.45556911,37.17056891,4,521.5719521,2
32.44817217,37.18103882,4,523.4244439,2
32.43698742,37.1724385,4,522.4310499,2
32.42614392,37.1311526,4,519.4257443,2
32.40813636,37.10254887,4,515.6492295,2
32.3964806,37.08385268,4,510.3200878,2
32.3953013,37.07155606,4,509.3781936,2
32.4000198,37.0454617,4,510.7410599,2
32.39809727,37.00864912,4,510.7007112,2
32.40000057,37.0270904,4,514.3725915,2
32.40000057,37.04788991,4,516.389542,2
32.40000057,37.04497301,4,517.0312693,2
32.40000057,37.00615371,4,512.8795783,2
32.40000057,36.97052056,4,510.3011392,2
32.40000057,36.94087256,4,504.4443344,2
32.40000057,36.91155804,4,504.9633783,2
32.40000057,36.89680786,4,505.923407,2
32.40000057,36.89471264,4,506.0452979,2
32.40000057,36.90857789,4,508.7997763,2
32.40000057,36.93175558,4,512.0704744,2
32.40000057,36.95175679,4,512.5113881,2
32.40000057,36.96652241,4,516.3455924,2
32.40000057,36.98780528,4,516.7486902,2
32.40000057,37.00188055,4,517.6919877,2
32.40000057,37.00766492,4,515.162697,2
32.40000057,37.00645229,4,516.0190063,2
32.40069792,37.02430788,4,516.080082,2
32.39903756,37.03448118,4,514.1278415,2
32.39950553,37.04038606,4,514.0526866,2
32.39895978,37.01136868,4,512.745556,2
32.39520212,36.96964722,4,509.1359298,2
32.39275526,36.90962835,4,508.4276829,2
32.39250663,36.85161697,4,508.1874255,2
32.39697827,36.82809955,4,506.0814629,2
32.39516715,36.83468168,4,508.414509,2
32.39305368,36.87389947,4,511.1058916,2
32.37792906,36.93406556,4,514.8218724,2
32.35411679,37.02103243,4,517.7638081,2
32.33638013,37.08376483,4,519.8466819,2
32.3248869,37.14630253,4,519.6457704,2
32.321945,37.18444441,4,520.252395,2
32.32897883,37.17718388,4,523.3554045,2
32.33910051,37.19508275,4,521.7238905,2
32.35843155,37.19240175,4,523.2941693,2
32.36564628,37.13856875,4,524.7887488,2
32.36716115,37.09942338,4,522.3183406,2
32.3612699,37.08090828,4,522.0882873,2
32.35345656,37.05915891,4,520.3861091,2
32.35342904,37.05904254,4,519.0493534,2
32.35745106,37.06354764,4,519.9789013,2
